Sound Lvl ch.0 (V),Sound Lvl ch.1 (V)
-1.062149e+00,-1.038886e+00
-1.060076e+00,-1.038692e+00
-1.057743e+00,-1.037234e+00
-1.059622e+00,-1.037461e+00
-1.058747e+00,-1.037688e+00
-1.059557e+00,-1.038530e+00
-1.059492e+00,-1.037007e+00
-1.057322e+00,-1.035582e+00
-1.057872e+00,-1.035160e+00
-1.057581e+00,-1.034739e+00
-1.060626e+00,-1.036748e+00
-1.060043e+00,-1.037655e+00
-1.060140e+00,-1.037752e+00
-1.058164e+00,-1.037558e+00
-1.057581e+00,-1.036942e+00
-1.061598e+00,-1.036878e+00
-1.061242e+00,-1.036910e+00
-1.057678e+00,-1.035744e+00
-1.061598e+00,-1.037720e+00
-1.061598e+00,-1.038951e+00
-1.061793e+00,-1.039567e+00
-1.060270e+00,-1.039113e+00
-1.056836e+00,-1.036975e+00
-1.061112e+00,-1.038530e+00
-1.058456e+00,-1.036975e+00
-1.057160e+00,-1.034739e+00
-1.059622e+00,-1.036975e+00
-1.054632e+00,-1.033929e+00
-1.058294e+00,-1.034901e+00
-1.063218e+00,-1.038303e+00
-1.062927e+00,-1.039632e+00
-1.062700e+00,-1.039243e+00
-1.056090e+00,-1.034739e+00
-1.057872e+00,-1.035549e+00
-1.057192e+00,-1.036035e+00
-1.059525e+00,-1.037493e+00
-1.064287e+00,-1.041478e+00
-1.062311e+00,-1.039761e+00
-1.053563e+00,-1.034513e+00
-1.057419e+00,-1.035387e+00
-1.063737e+00,-1.039858e+00
-1.064644e+00,-1.041154e+00
-1.058553e+00,-1.036813e+00
-1.053758e+00,-1.034091e+00
-1.062246e+00,-1.038174e+00
-1.060173e+00,-1.038044e+00
-1.059428e+00,-1.037947e+00
-1.060108e+00,-1.037364e+00
-1.059006e+00,-1.036489e+00
-1.059168e+00,-1.036003e+00
-1.060238e+00,-1.037104e+00
-1.056965e+00,-1.037104e+00
-1.059266e+00,-1.036780e+00
-1.063542e+00,-1.039761e+00
-1.052527e+00,-1.032731e+00
-1.059492e+00,-1.034610e+00
-1.057419e+00,-1.035063e+00
-1.055896e+00,-1.033800e+00
-1.062991e+00,-1.037104e+00
-1.053887e+00,-1.034156e+00
-1.061857e+00,-1.039340e+00
-1.055442e+00,-1.035744e+00
-1.061242e+00,-1.038206e+00
-1.057386e+00,-1.037072e+00
-1.058261e+00,-1.037785e+00
-1.056350e+00,-1.036683e+00
-1.060043e+00,-1.037493e+00
-1.056026e+00,-1.035452e+00
-1.064385e+00,-1.038854e+00
