Sound Lvl ch.0 (V),Sound Lvl ch.1 (V)
-9.483305e-01,-9.184583e-01
-9.262990e-01,-9.040083e-01
-8.990836e-01,-8.823980e-01
-8.651292e-01,-8.571589e-01
-8.493507e-01,-8.424821e-01
-8.804864e-01,-8.620188e-01
-9.566895e-01,-9.143760e-01
-1.024566e+00,-9.693576e-01
-1.020646e+00,-9.751571e-01
-9.209855e-01,-9.153804e-01
-8.347063e-01,-8.506791e-01
-8.579041e-01,-8.529794e-01
-9.749627e-01,-9.234802e-01
-1.017179e+00,-9.624241e-01
-9.157368e-01,-9.086090e-01
-8.539838e-01,-8.649024e-01
-9.628777e-01,-9.215687e-01
-1.017373e+00,-9.599294e-01
-8.726458e-01,-8.814260e-01
-8.319523e-01,-8.473096e-01
-1.021553e+00,-9.511816e-01
-9.931387e-01,-9.484601e-01
-8.228481e-01,-8.545670e-01
-9.604154e-01,-9.185231e-01
-1.010958e+00,-9.503068e-01
-8.279672e-01,-8.574829e-01
-9.699084e-01,-9.254890e-01
-9.846824e-01,-9.374119e-01
-8.314987e-01,-8.599453e-01
-1.033897e+00,-9.609986e-01
-8.883270e-01,-8.873551e-01
-8.948717e-01,-8.914374e-01
-1.029005e+00,-9.549399e-01
-8.020154e-01,-8.454304e-01
-1.058520e+00,-9.719495e-01
-8.563166e-01,-8.716414e-01
-9.574347e-01,-9.242254e-01
-9.350468e-01,-9.048183e-01
-8.924417e-01,-8.945801e-01
-1.004964e+00,-9.397123e-01
-8.482167e-01,-8.735206e-01
-1.022104e+00,-9.476177e-01
-8.429033e-01,-8.694383e-01
-1.016045e+00,-9.465485e-01
-8.666843e-01,-8.819768e-01
-9.690984e-01,-9.223787e-01
-9.041055e-01,-8.983060e-01
-9.407166e-01,-9.082850e-01
-9.296361e-01,-9.113629e-01
-9.226703e-01,-9.001528e-01
-9.365047e-01,-9.122377e-01
-9.249382e-01,-9.037167e-01
-9.359863e-01,-9.106177e-01
-9.294741e-01,-9.069566e-01
-9.273033e-01,-9.055958e-01
-9.424014e-01,-9.139225e-01
-9.181668e-01,-9.008007e-01
-9.428226e-01,-9.127561e-01
-9.274005e-01,-9.075722e-01
-9.283725e-01,-9.066650e-01
-9.380923e-01,-9.114277e-01
-9.299925e-01,-9.097753e-01
-9.261370e-01,-9.045591e-01
-9.294093e-01,-9.059198e-01
-9.402955e-01,-9.146676e-01
-9.229294e-01,-9.054014e-01
-9.310617e-01,-9.065354e-01
-9.384487e-01,-9.113629e-01
-9.317096e-01,-9.110065e-01
-9.232858e-01,-9.034575e-01
-9.322280e-01,-9.062438e-01
-9.334916e-01,-9.086414e-01
-9.287937e-01,-9.081878e-01
